,ts,id,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8
163,2023-02-24T00:25:20.815000,7463831660,442.99,202.08,71.89,109.5,547.73,929.14,847.54,831.8
164,2023-02-24T00:25:20.820000,7463831661,442.25,201.58,71.6,109.44,547.76,928.58,847.19,831.84
165,2023-02-24T00:25:20.825000,7463831662,442.29,201.39,72,109.33,547.88,928.95,847.17,831.78
166,2023-02-24T00:25:20.830000,7463831663,442.05,201.95,72.35,109.22,548.35,929.27,846.82,831.72
167,2023-02-24T00:25:20.835000,7463831664,442.35,201.57,72.13,109.59,547.9,929.26,846.69,831.78
168,2023-02-24T00:25:20.840000,7463831665,442.31,202.01,71.69,108.69,547.09,929.23,846.92,832.24
169,2023-02-24T00:25:20.845000,7463831666,442.7,201.4,72.34,109.4,547.45,928.85,847.85,831.97
170,2023-02-24T00:25:20.850000,7463831667,442.16,201.76,72.44,109.55,547.47,929.24,847.23,832.4
171,2023-02-24T00:25:20.855000,7463831668,442.73,201.83,71.98,109.3,548.03,928.95,846.94,831.94
172,2023-02-24T00:25:20.860000,7463831669,441.81,200.97,71.81,109.71,547.5,928.76,847.43,831.72
173,2023-02-24T00:25:20.865000,7463831670,441.97,201.9,72.35,109.44,548.13,928.66,847.21,832.63
174,2023-02-24T00:25:20.870000,7463831671,442.25,201.34,71.87,109.56,548.21,929.22,847.17,831.89
175,2023-02-24T00:25:20.875000,7463831672,441.78,201.44,71.37,108.96,548.33,929.11,846.6,831.74
176,2023-02-24T00:25:20.880000,7463831673,442.36,201.63,72.73,109.18,548.05,928.36,846.55,831.62
177,2023-02-24T00:25:20.885000,7463831674,442.35,201.38,72.17,109.1,547.21,928.94,847.02,832.09
178,2023-02-24T00:25:20.890000,7463831675,442.4,201.45,72.63,109.43,547.51,929.66,847.63,832.36
179,2023-02-24T00:25:20.895000,7463831676,441.42,201.92,71.88,108.97,547.36,929.37,847.83,832.51
180,2023-02-24T00:25:20.900000,7463831677,442.23,201.1,71.68,109.09,547.65,928.63,847.3,832.01
181,2023-02-24T00:25:20.905000,7463831678,441.93,201.95,71.8,109.6,547.79,928.9,846.87,831.86
182,2023-02-24T00:25:20.910000,7463831679,442.09,202.28,72.35,109.2,547.74,929.3,847.2,832.39
183,2023-02-24T00:25:20.915000,7463831680,441.69,202.02,72.01,109.33,547.92,928.5,847.33,831.29
184,2023-02-24T00:25:20.920000,7463831681,441.64,201.37,72.13,109.5,547.86,928.63,846.78,831.88
185,2023-02-24T00:25:20.925000,7463831682,442.37,202.36,72.66,109.22,547.93,929.6,847.02,832.68
186,2023-02-24T00:25:20.930000,7463831683,443.09,202.15,72.44,109.65,547.78,929.23,847.4,832.34
187,2023-02-24T00:25:20.935000,7463831684,442.39,201.31,72.71,109.33,547.93,928.71,847.43,832.31
188,2023-02-24T00:25:20.940000,7463831685,441.79,201.55,72.41,109.46,547.49,928.65,846.74,831.93
189,2023-02-24T00:25:20.945000,7463831686,442.23,201.44,72.39,108.92,547.55,928.82,847.46,832.08
190,2023-02-24T00:25:20.950000,7463831687,442.85,202.01,72.1,109,547.81,929.87,847.5,832.47
191,2023-02-24T00:25:20.955000,7463831688,442.12,202.3,72.38,108.84,547.9,928.79,846.73,831.4
192,2023-02-24T00:25:20.960000,7463831689,442.05,201.58,71.84,109.37,547.96,928.7,847.23,831.88
193,2023-02-24T00:25:20.965000,7463831690,442.54,201.7,72.9,109.7,548.35,929.49,847.64,832.57
194,2023-02-24T00:25:20.970000,7463831691,442.29,201.77,72.56,109.62,547.71,929.25,847.26,832.1
195,2023-02-24T00:25:20.975000,7463831692,442.75,201.79,72.27,109.11,547.65,929.17,846.97,832.13
196,2023-02-24T00:25:20.980000,7463831693,442.04,202.02,71.72,109.48,547.92,928.93,847.7,830.96
197,2023-02-24T00:25:20.985000,7463831694,442.35,202.35,72.21,109.6,547.87,929.41,847.38,831.82
198,2023-02-24T00:25:20.990000,7463831695,442.5,201.89,72.4,109.83,547.86,929.18,847.51,832.01
199,2023-02-24T00:25:20.995000,7463831696,442.24,201.82,72.13,109.23,547.98,928.8,847.35,831.68
200,2023-02-24T00:25:21,7463831697,442.56,201.5,72.13,109.35,547.39,928.68,846.94,831.91
201,2023-02-24T00:25:21.005000,7463831698,442.28,202.04,72.49,109.71,548.04,928.77,847.14,831.97
202,2023-02-24T00:25:21.010000,7463831699,442.85,201.84,72.82,109.26,547.95,928.65,847.69,832.09
203,2023-02-24T00:25:21.015000,7463831700,442.02,201.32,72.22,109.26,547.44,928.78,846.68,831.69
204,2023-02-24T00:25:21.020000,7463831701,442.02,201.49,72.3,109.68,546.99,928.69,847.16,831.87
205,2023-02-24T00:25:21.025000,7463831702,441.92,201.77,72.14,109.2,547.26,928.79,847.21,831.85
206,2023-02-24T00:25:21.030000,7463831703,442.23,201.69,72.51,109.08,548.09,929.59,847.6,832.04
207,2023-02-24T00:25:21.035000,7463831704,441.97,201.58,72.37,109.78,547.81,928.26,847.31,832.14
208,2023-02-24T00:25:21.040000,7463831705,442.14,201.91,71.82,109.25,547.91,929.35,847.08,831.96
209,2023-02-24T00:25:21.045000,7463831706,441.86,202.2,72.12,109.19,548.01,928.9,847.14,831.66
210,2023-02-24T00:25:21.050000,7463831707,441.82,201.87,72.3,109.33,547.81,929.9,847.29,832.02
211,2023-02-24T00:25:21.055000,7463831708,442.05,201.9,72.84,109.11,547.68,929.2,846.95,831.24
212,2023-02-24T00:25:21.060000,7463831709,441.79,201.81,72.27,109.1,547.59,928.6,846.91,831.33
213,2023-02-24T00:25:21.065000,7463831710,442.55,201.72,72.06,109.09,547.56,929.11,847.39,831.55
214,2023-02-24T00:25:21.070000,7463831711,441.58,202.48,72.36,109.62,547.39,928.35,847.17,831.4
215,2023-02-24T00:25:21.075000,7463831712,442.81,201.85,72.38,109.41,547.37,928.52,847.25,831.9
216,2023-02-24T00:25:21.080000,7463831713,442.23,201.86,72.39,108.63,546.97,928.31,847.26,831.66
217,2023-02-24T00:25:21.085000,7463831714,442.38,201.97,72.49,109.68,547.96,929.47,847.05,832.03
218,2023-02-24T00:25:21.090000,7463831715,442.86,201.7,72.23,109.63,547.48,929.8,847.65,832.28
219,2023-02-24T00:25:21.095000,7463831716,442.34,202.29,71.72,109.31,548.76,929.86,847.03,832.37
220,2023-02-24T00:25:21.100000,7463831717,442.2,201.16,71.86,108.82,547.89,928.76,847.2,832.2
221,2023-02-24T00:25:21.105000,7463831718,441.85,201.59,71.71,109.38,547.56,928.86,847.26,832.05
222,2023-02-24T00:25:21.110000,7463831719,442.82,201.5,72.11,109.44,547.86,929.07,847.07,831.46
223,2023-02-24T00:25:21.115000,7463831720,442.18,201.56,71.55,109.65,547.72,929.05,846.71,831.54
224,2023-02-24T00:25:21.120000,7463831721,442.27,201.91,71.83,109.09,547.59,928.82,847.1,831.95
225,2023-02-24T00:25:21.125000,7463831722,442.35,201.61,71.83,109.45,547.9,929.02,846.88,831.98
226,2023-02-24T00:25:21.130000,7463831723,443.15,202.01,72.11,109.39,547.52,928.92,847.35,832.21
227,2023-02-24T00:25:21.135000,7463831724,442.53,202.19,72.2,109.65,547.85,929.11,847.43,831.86
228,2023-02-24T00:25:21.140000,7463831725,442.28,201.8,71.65,109.2,547.22,928.66,847.06,832.11
229,2023-02-24T00:25:21.145000,7463831726,442.25,202,72.22,109.46,547.76,928.68,847.28,831.88
230,2023-02-24T00:25:21.150000,7463831727,443.2,201.79,71.92,109.38,547.72,929.34,847.45,831.88
231,2023-02-24T00:25:21.155000,7463831728,442.01,202.07,72.27,109.1,547.27,928.75,847.62,832.25
232,2023-02-24T00:25:21.160000,7463831729,442.01,201.21,72.01,109.01,547.62,928.91,847.11,832.01
233,2023-02-24T00:25:21.165000,7463831730,442.56,201.76,72.16,109.12,547.53,928.93,847.17,832.41
234,2023-02-24T00:25:21.170000,7463831731,441.91,201.82,71.77,108.85,547.48,928.45,847.78,832.01
235,2023-02-24T00:25:21.175000,7463831732,442.94,201.91,71.79,109.7,547.51,928.8,847.52,832.03
236,2023-02-24T00:25:21.180000,7463831733,442.83,201.69,72.48,108.75,547.64,928.89,847.03,831.7
237,2023-02-24T00:25:21.185000,7463831734,442.14,201.48,72.07,108.64,546.93,928.83,847.07,831.57
238,2023-02-24T00:25:21.190000,7463831735,441.97,202.01,72.39,109.46,547.68,928.83,848.09,832
239,2023-02-24T00:25:21.195000,7463831736,442.41,201.73,72.52,109.17,547.29,928.35,846.92,832.22
240,2023-02-24T00:25:21.200000,7463831737,442.45,201.29,72.59,108.91,547,928.85,846.94,831.97
241,2023-02-24T00:25:21.205000,7463831738,442.25,201.31,72.25,109.45,547.57,929.2,846.85,832.22
242,2023-02-24T00:25:21.210000,7463831739,442.88,201.31,72.21,108.6,547.73,928.92,847.46,832.11
243,2023-02-24T00:25:21.215000,7463831740,441.83,201.46,71.99,109.37,547.68,928.97,847.87,831.32
244,2023-02-24T00:25:21.220000,7463831741,441.99,201.71,71.56,108.73,547.79,928.88,847.02,832.05
245,2023-02-24T00:25:21.225000,7463831742,442.31,201.23,72.14,109.14,547.57,928.78,847,831.94
246,2023-02-24T00:25:21.230000,7463831743,442.13,202.21,72.87,109.63,547.7,929.48,847.31,831.59
247,2023-02-24T00:25:21.235000,7463831744,442.11,201.86,72.9,109.62,548.11,928.65,847.33,832.11
248,2023-02-24T00:25:21.240000,7463831745,442.9,201.42,72.24,108.79,547.47,929.24,847.57,831.49
249,2023-02-24T00:25:21.245000,7463831746,442.39,201.86,72.39,109.09,547.91,929.09,847.09,831.87
250,2023-02-24T00:25:21.250000,7463831747,442.92,201.87,72.23,109.12,548.01,929.26,847.02,831.47
